label,text
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
ham,Hmmm.still we dont have opener?
ham,The evo. I just had to download flash. Jealous?
spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
ham,Super da:)good replacement for murali
ham,I was gonna ask you lol but i think its at 7
ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
ham,If you ask her or she say any please message.
ham,How abt making some of the pics bigger?
ham,You see the requirements please
ham,So do you have samus shoulders yet
ham,645
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,Long time. You remember me today.
ham,Waaaat?? Lololo ok next time then!
spam,You have 1 new voicemail. Please call 08719181513.
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
ham,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,Life style garments account no please.
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
ham,"Very hurting n meaningful lines ever: I compromised everything for my love, But at d end my love compromised me for everything:-(.. Gud mornin:-)"
ham,I'm home...
ham,"Me, i dont know again oh"
ham,Sorry da..today i wont come to play..i have driving clas..
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,"Sorry, I'll call later"
ham,Have you bookedthe hut? And also your time off? How are you by the way?
ham,I anything lor...
ham,Huh y lei...
ham,Well if I'm that desperate I'll just call armand again
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
ham,Goodnight da thangam I really miss u dear.
spam,"You can stop further club tones by replying STOP MIX See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
spam,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
ham,Wen did you get so spiritual and deep. That's great
ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
ham,Wat time ü finish?
ham,"Don't worry, * is easy once have ingredients!"
ham,Ok.ok ok..then..whats ur todays plan
ham,Can you say what happen
ham,What's your room number again? Wanna make sure I'm knocking on the right door
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
ham,Really do hope the work doesnt get stressful. Have a gr8 day.
ham,Will it help if we propose going back again tomorrow
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
ham,And now electricity just went out fml.
ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife...."
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u 
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,I thank you so much for all you do with selflessness. I love you plenty.
ham,Kallis is ready for bat in 2nd innings
ham,When/where do I pick you up
ham,"Sorry, I'll call later in meeting"
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
ham,May i call You later Pls
ham,I said its okay. Sorry
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Thinking of u ;) x
ham,I will see in half an hour
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
ham,I place all ur points on e cultures module already.
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
